#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	food_origin	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT000016116.2|SAMN02141984|GCA_000406445.1|Klebsiella pneumoniae UHKPC01||UHKPC01|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000406445.1	Contig	96149	5575547	223	Newbler v. 2.3	Generic	PRJNA187303	JCVI	SAMN02141984	"1134709401421 Klebsiella pneumoniae UHKPC 52 UHKPC01-PE-IL28-1 Sample","SRS420061","UHKPC01"	NULL	NULL	NULL	698008	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Klebsiella pneumoniae UHKPC01	NULL	NULL	573	NULL	NULL	UHKPC01	NULL	NULL	NULL	PDT000016116.2	2013-06-04	1284811	APVP	APVP00000000.1	NULL	NULL	NULL	14	3	4	21	23	22	"amikacin=S,aztreonam=R,cefepime=R,cefotaxime=R,ceftazidime=R,ciprofloxacin=R,colistin=S,doripenem=R,doxycycline=I,ertapenem=R,gentamicin=I,imipenem=R,levofloxacin=R,meropenem=R,minocycline=I,piperacillin-tazobactam=R,polymyxin B=S,ticarcillin-clavulanic acid=R,tigecycline=S,tobramycin=R,trimethoprim-sulfamethoxazole=R"	"aac(3)-IVa,aac(6')-Ib,aadA2,aph(4)-Ia,blaKPC-2,blaOXA=MISTRANSLATION,blaSHV-12,catA1=PARTIAL_END_OF_CONTIG,cmlA1,dfrA12,emrD,estX-3,fosA,gyrA_S83I=POINT,mph(A),mrx(A),ompK35_E42RfsTer47=POINT,ompK36_D135DGD=POINT,oqxA,oqxB,parC_S80I=POINT,sul1,sul3"	"aac(3)-IVa,aac(6')-Ib,aadA2,aph(4)-Ia,blaKPC-2,blaOXA=MISTRANSLATION,blaSHV-12,catA1=PARTIAL_END_OF_CONTIG,cmlA1,dfrA12,estX-3,fosA,gyrA_S83I=POINT,mph(A),mrx(A),ompK35_E42RfsTer47=POINT,ompK36_D135DGD=POINT,oqxA,oqxB,parC_S80I=POINT,sul1,sul3"	31	"arsA,arsB,arsC,arsC=HMM,arsD,arsR,asr=HMM,clpK,fieF,hsp20,merA=HMM,merC,merD=HMM,merE=HMM,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,qacE,qacL,silA,silB,silC,silE,silF,silP,silR,silS"	0	NULL	4.2.7	2026-01-21.1	COMBINED	1
PDT000016117.2|SAMN02142028|GCA_000406525.1|Klebsiella pneumoniae UHKPC81||UHKPC81|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000406525.1	Contig	70624	5532328	231	Newbler v. 2.3	Generic	PRJNA187304	JCVI	SAMN02142028	"1134709401483 Klebsiella pneumoniae UHKPC81 UHKPC81-PE-IL29-01 Sample","SRS420220","UHKPC81"	NULL	NULL	NULL	698088	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Klebsiella pneumoniae UHKPC81	NULL	NULL	573	NULL	NULL	UHKPC81	NULL	NULL	NULL	PDT000016117.2	2013-06-04	1284812	APVQ	APVQ00000000.1	NULL	NULL	NULL	15	3	3	21	14	13	"amikacin=S,aztreonam=R,cefepime=I,cefotaxime=R,ceftazidime=R,ciprofloxacin=R,colistin=R,doripenem=R,doxycycline=I,ertapenem=R,gentamicin=R,imipenem=R,levofloxacin=S,meropenem=R,minocycline=I,piperacillin-tazobactam=R,polymyxin B=R,ticarcillin-clavulanic acid=R,tigecycline=S,tobramycin=R,trimethoprim-sulfamethoxazole=R"	"aac(6')-Ib,ant(2'')-Ia,blaKPC-2,blaOXA=MISTRANSLATION,blaSHV-11,blaTEM=PARTIAL_END_OF_CONTIG,catB3,dfrA19,emrD,fosA,gyrA_S83F=POINT,oqxA10,oqxB,sul1"	"aac(6')-Ib,ant(2'')-Ia,blaKPC-2,blaOXA=MISTRANSLATION,blaSHV-11,blaTEM=PARTIAL_END_OF_CONTIG,catB3,dfrA19,fosA,gyrA_S83F=POINT,oqxA10,oqxB,sul1"	37	"arsA,arsB,arsC,arsC=HMM,arsD,arsR,asr=HMM,clpK,fieF,hsp20,merA,merA=HMM,merC,merC=HMM,merD,merD=HMM,merE,merE=HMM,merP=HMM,merR,merT,pcoA,pcoB,pcoC,pcoD=PARTIAL_END_OF_CONTIG,pcoE,pcoR,pcoS,qacE,silA,silB,silC,silE,silF,silP,silR,silS"	4	"clbB,clbN,ybtP,ybtQ"	4.2.7	2026-01-21.1	COMBINED	1
PDT000016118.2|SAMN02141968|GCA_000406465.1|Klebsiella pneumoniae UHKPC27||UHKPC27|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000406465.1	Contig	89639	5571683	220	Newbler v. 2.3	Generic	PRJNA187305	JCVI	SAMN02141968	"1134709401449 Klebsiella pneumoniae UHKPC26 UHKPC27-PE-IL30-1 Sample","SRS420020","UHKPC27"	NULL	NULL	NULL	698028	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Klebsiella pneumoniae UHKPC27	NULL	NULL	573	NULL	NULL	UHKPC27	NULL	NULL	NULL	PDT000016118.2	2013-06-04	1284813	APVR	APVR00000000.1	NULL	NULL	NULL	14	4	3	21	22	21	"amikacin=I,aztreonam=R,cefepime=R,cefotaxime=R,ceftazidime=R,ciprofloxacin=R,colistin=S,doripenem=R,doxycycline=I,ertapenem=R,gentamicin=I,imipenem=R,levofloxacin=R,meropenem=R,minocycline=I,piperacillin-tazobactam=R,polymyxin B=S,ticarcillin-clavulanic acid=R,tigecycline=S,tobramycin=R,trimethoprim-sulfamethoxazole=R"	"aac(3)-IVa,aac(6')-Ib,aadA2,aph(4)-Ia,blaKPC-2,blaOXA=MISTRANSLATION,blaSHV-12,cmlA1,dfrA12,emrD,estX-3,fosA,gyrA_S83I=POINT,mph(A),mrx(A),ompK35_E42RfsTer47=POINT,ompK36_D135DGD=POINT,oqxA,oqxB,parC_S80I=POINT,sul1,sul3"	"aac(3)-IVa,aac(6')-Ib,aadA2,aph(4)-Ia,blaKPC-2,blaOXA=MISTRANSLATION,blaSHV-12,cmlA1,dfrA12,estX-3,fosA,gyrA_S83I=POINT,mph(A),mrx(A),ompK35_E42RfsTer47=POINT,ompK36_D135DGD=POINT,oqxA,oqxB,parC_S80I=POINT,sul1,sul3"	31	"arsA,arsB,arsC,arsC=HMM,arsD,arsR,asr=HMM,clpK,fieF,hsp20,merA=HMM,merC,merD=HMM,merE=HMM,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,qacE,qacL,silA,silB,silC,silE,silF,silP,silR,silS"	0	NULL	4.2.7	2026-01-21.1	COMBINED	1
PDT000016119.2|SAMN02141979|GCA_000406605.1|Klebsiella pneumoniae UHKPC24||UHKPC24|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000406605.1	Contig	105332	5396453	129	Newbler v. 2.3	Generic	PRJNA187307	JCVI	SAMN02141979	"1134709401445 Klebsiella pneumoniae UHKPC23 UHKPC24-PE-IL40-1 Sample","SRS420056","UHKPC24"	NULL	NULL	NULL	698168	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Klebsiella pneumoniae UHKPC24	NULL	NULL	573	NULL	NULL	UHKPC24	NULL	NULL	NULL	PDT000016119.2	2013-06-04	1284815	APVS	APVS00000000.1	NULL	NULL	NULL	14	3	4	21	12	11	"amikacin=I,aztreonam=R,cefepime=R,cefotaxime=R,ceftazidime=R,ciprofloxacin=R,colistin=S,doripenem=R,doxycycline=I,ertapenem=R,gentamicin=S,imipenem=R,levofloxacin=R,meropenem=R,minocycline=I,piperacillin-tazobactam=R,polymyxin B=S,ticarcillin-clavulanic acid=R,tigecycline=S,tobramycin=R,trimethoprim-sulfamethoxazole=R"	"aac(6')-Ib,blaKPC-2,blaOXA=MISTRANSLATION,blaSHV-12,emrD,fosA,gyrA_S83I=POINT,ompK35_E42RfsTer47=POINT,ompK36_D135DGD=POINT,oqxA,oqxB,parC_S80I=POINT"	"aac(6')-Ib,blaKPC-2,blaOXA=MISTRANSLATION,blaSHV-12,fosA,gyrA_S83I=POINT,ompK35_E42RfsTer47=POINT,ompK36_D135DGD=POINT,oqxA,oqxB,parC_S80I=POINT"	7	"arsC=HMM,asr=HMM,fieF,merA=HMM,merC,merD=HMM,merE=HMM"	0	NULL	4.2.7	2026-01-21.1	COMBINED	1
PDT000016120.2|SAMN02141967|GCA_000406665.1|Klebsiella pneumoniae UHKPC26||UHKPC26|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000406665.1	Contig	86762	5502788	202	Newbler v. 2.3	Generic	PRJNA187308	JCVI	SAMN02141967	"1134709401447 Klebsiella pneumoniae UHKPC24 UHKPC26-PE-IL56-1 Sample","SRS420019","UHKPC26"	NULL	NULL	NULL	698228	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Klebsiella pneumoniae UHKPC26	NULL	NULL	573	NULL	NULL	UHKPC26	NULL	NULL	NULL	PDT000016120.2	2013-06-04	1284816	APVT	APVT00000000.1	NULL	NULL	NULL	16	1	4	21	18	17	"amikacin=I,aztreonam=R,cefepime=R,cefotaxime=R,ceftazidime=R,ciprofloxacin=R,colistin=R,doripenem=R,doxycycline=S,ertapenem=R,gentamicin=S,imipenem=R,levofloxacin=R,meropenem=R,minocycline=S,piperacillin-tazobactam=R,polymyxin B=R,ticarcillin-clavulanic acid=R,tigecycline=S,tobramycin=R,trimethoprim-sulfamethoxazole=R"	"aac(6')-Ib,aadA2,blaKPC-2,blaOXA=MISTRANSLATION,blaSHV-12,crrB_L94M=POINT,dfrA12,emrD,fosA,gyrA_S83I=POINT,mph(A),mrx(A),ompK35_E42RfsTer47=POINT,ompK36_D135DGD=POINT,oqxA,oqxB,parC_S80I=POINT,sul1"	"aac(6')-Ib,aadA2,blaKPC-2,blaOXA=MISTRANSLATION,blaSHV-12,crrB_L94M=POINT,dfrA12,fosA,gyrA_S83I=POINT,mph(A),mrx(A),ompK35_E42RfsTer47=POINT,ompK36_D135DGD=POINT,oqxA,oqxB,parC_S80I=POINT,sul1"	10	"arsC=HMM,asr=HMM,clpK,fieF,hsp20,merA=HMM,merC,merD=HMM,merE=HMM,qacE"	0	NULL	4.2.7	2026-01-21.1	COMBINED	1
PDT000016121.2|SAMN02141977|GCA_000406685.1|Klebsiella pneumoniae UHKPC22||UHKPC22|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000406685.1	Contig	85436	5603708	200	Newbler v. 2.3	Generic	PRJNA187312	JCVI	SAMN02141977	"1134709401441 Klebsiella pneumoniae UHKPC18 UHKPC22-PE-IL10-1 Sample","SRS420054","UHKPC22"	NULL	NULL	NULL	698248	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Klebsiella pneumoniae UHKPC22	NULL	NULL	573	NULL	NULL	UHKPC22	NULL	NULL	NULL	PDT000016121.2	2013-06-04	1284820	APVU	APVU00000000.1	NULL	NULL	NULL	16	1	4	21	22	21	"amikacin=S,aztreonam=R,cefepime=I,cefotaxime=R,ceftazidime=R,ciprofloxacin=R,colistin=S,doripenem=R,doxycycline=R,ertapenem=R,gentamicin=R,imipenem=R,levofloxacin=R,meropenem=R,minocycline=R,piperacillin-tazobactam=R,polymyxin B=S,ticarcillin-clavulanic acid=R,tigecycline=S,tobramycin=R,trimethoprim-sulfamethoxazole=R"	"aac(3)-IVa,aadA1=PARTIAL_END_OF_CONTIG,aadA2,aph(4)-Ia,blaKPC-7,blaOXA-9,blaSHV-12,cmlA1,dfrA12,emrD,estX-3,fosA,gyrA_D87N=POINT,gyrA_S83I=POINT,mph(A),mrx(A),ompK35_E42RfsTer47=POINT,oqxA,oqxB,parC_S80I=POINT,sul1,sul3"	"aac(3)-IVa,aadA1=PARTIAL_END_OF_CONTIG,aadA2,aph(4)-Ia,blaKPC-7,blaOXA-9,blaSHV-12,cmlA1,dfrA12,estX-3,fosA,gyrA_D87N=POINT,gyrA_S83I=POINT,mph(A),mrx(A),ompK35_E42RfsTer47=POINT,oqxA,oqxB,parC_S80I=POINT,sul1,sul3"	27	"arsA,arsB,arsC,arsC=HMM,arsD,arsR,asr=HMM,clpK,fieF,hsp20,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,qacEdelta1,qacL,silA,silB,silC,silE,silF,silP,silR,silS"	0	NULL	4.2.7	2026-01-21.1	COMBINED	1
PDT000016122.2|SAMN02141986|GCA_000406705.1|Klebsiella pneumoniae UHKPC04||UHKPC04|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000406705.1	Contig	85429	5550266	232	Newbler v. 2.3	Generic	PRJNA187315	JCVI	SAMN02141986	"1134709401425 Klebsiella pneumoniae UHKPC02 UHKPC04-PE-IL16-1 Sample","SRS420063","UHKPC04"	NULL	NULL	NULL	698268	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Klebsiella pneumoniae UHKPC04	NULL	NULL	573	NULL	NULL	UHKPC04	NULL	NULL	NULL	PDT000016122.2	2013-06-04	1284823	APVV	APVV00000000.1	NULL	NULL	NULL	14	1	6	21	22	21	"amikacin=S,aztreonam=R,cefepime=R,cefotaxime=R,ceftazidime=R,ciprofloxacin=R,colistin=S,doripenem=R,doxycycline=S,ertapenem=R,gentamicin=I,imipenem=R,levofloxacin=R,meropenem=R,minocycline=S,piperacillin-tazobactam=R,polymyxin B=S,ticarcillin-clavulanic acid=R,tigecycline=S,tobramycin=R,trimethoprim-sulfamethoxazole=R"	"aac(3)-IVa,aac(6')-Ib',aadA2,aph(4)-Ia=PARTIAL_END_OF_CONTIG,blaKPC-2,blaOXA=MISTRANSLATION,blaSHV-12,blaTEM=PARTIAL_END_OF_CONTIG,catA1,dfrA12,emrD,fosA,gyrA_S83I=POINT,mph(A),mrx(A),ompK35_E42RfsTer47=POINT,ompK36_D135DGD=POINT,oqxA,oqxB,parC_S80I=POINT,sul1,sul3"	"aac(3)-IVa,aac(6')-Ib',aadA2,aph(4)-Ia=PARTIAL_END_OF_CONTIG,blaKPC-2,blaOXA=MISTRANSLATION,blaSHV-12,blaTEM=PARTIAL_END_OF_CONTIG,catA1,dfrA12,fosA,gyrA_S83I=POINT,mph(A),mrx(A),ompK35_E42RfsTer47=POINT,ompK36_D135DGD=POINT,oqxA,oqxB,parC_S80I=POINT,sul1,sul3"	10	"arsC=HMM,asr=HMM,clpK,fieF,hsp20,merA=HMM,merC,merD=HMM,merE=HMM,qacE"	0	NULL	4.2.7	2026-01-21.1	COMBINED	1
PDT000016123.2|SAMN02142041|GCA_000406725.1|Klebsiella pneumoniae VAKPC252||VAKPC252|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000406725.1	Contig	80360	5476814	175	Newbler v. 2.3	Generic	PRJNA187316	JCVI	SAMN02142041	"1134709401487 Klebsiella pneumoniae VAKPC252 VAKP252-PE-IL1-1 Sample","SRS420222","VAKPC252"	NULL	NULL	NULL	698288	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Klebsiella pneumoniae VAKPC252	NULL	NULL	573	NULL	NULL	VAKPC252	NULL	NULL	NULL	PDT000016123.2	2013-06-04	1284824	APVW	APVW00000000.1	NULL	NULL	NULL	14	0	7	21	16	15	"amikacin=S,aztreonam=R,cefepime=R,cefotaxime=R,ceftazidime=R,ciprofloxacin=R,colistin=S,doripenem=R,doxycycline=S,ertapenem=R,gentamicin=R,imipenem=R,levofloxacin=R,meropenem=R,minocycline=S,piperacillin-tazobactam=R,polymyxin B=S,ticarcillin-clavulanic acid=R,tigecycline=S,tobramycin=R,trimethoprim-sulfamethoxazole=S"	"aac(3)-IVa,aadA2,aph(4)-Ia,blaKPC-3,blaSHV-12,cmlA1,emrD,estX-3,fosA,gyrA_D87N=POINT,gyrA_S83I=POINT,ompK35_E42RfsTer47=POINT,oqxA,oqxB,parC_S80I=POINT,sul3"	"aac(3)-IVa,aadA2,aph(4)-Ia,blaKPC-3,blaSHV-12,cmlA1,estX-3,fosA,gyrA_D87N=POINT,gyrA_S83I=POINT,ompK35_E42RfsTer47=POINT,oqxA,oqxB,parC_S80I=POINT,sul3"	6	"arsC=HMM,asr=HMM,clpK,fieF,hsp20,qacL"	0	NULL	4.2.7	2026-01-21.1	COMBINED	1
PDT000016124.2|SAMN02142042|GCA_000406825.1|Klebsiella pneumoniae VAKPC254||VAKPC254|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000406825.1	Contig	85430	5531658	175	Newbler v. 2.3	Generic	PRJNA187317	JCVI	SAMN02142042	"1134709401489 Klebsiella pneumoniae VAKPC254 VAKP254-PE-IL2-1 Sample","SRS420223","VAKPC254"	NULL	NULL	NULL	698388	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Klebsiella pneumoniae VAKPC254	NULL	NULL	573	NULL	NULL	VAKPC254	NULL	NULL	NULL	PDT000016124.2	2013-06-04	1284825	APVX	APVX00000000.1	NULL	NULL	NULL	15	1	5	21	17	16	"amikacin=I,aztreonam=R,cefepime=R,cefotaxime=R,ceftazidime=R,ciprofloxacin=R,colistin=S,doripenem=R,doxycycline=S,ertapenem=R,gentamicin=R,imipenem=R,levofloxacin=R,meropenem=R,minocycline=S,piperacillin-tazobactam=R,polymyxin B=S,ticarcillin-clavulanic acid=R,tigecycline=S,tobramycin=R,trimethoprim-sulfamethoxazole=R"	"aac(3)-IVa,aadA1=PARTIAL_END_OF_CONTIG,aph(4)-Ia,blaKPC-3,blaOXA-9,blaSHV-11,cmlA1,emrD,estX-3,fosA,gyrA_D87N=POINT,gyrA_S83I=POINT,ompK35_E42RfsTer47=POINT,oqxA,oqxB,parC_S80I=POINT,sul3"	"aac(3)-IVa,aadA1=PARTIAL_END_OF_CONTIG,aph(4)-Ia,blaKPC-3,blaOXA-9,blaSHV-11,cmlA1,estX-3,fosA,gyrA_D87N=POINT,gyrA_S83I=POINT,ompK35_E42RfsTer47=POINT,oqxA,oqxB,parC_S80I=POINT,sul3"	6	"arsC=HMM,asr=HMM,clpK,fieF,hsp20,qacL"	0	NULL	4.2.7	2026-01-21.1	COMBINED	1
PDT000016125.2|SAMN02142043|GCA_000406845.1|Klebsiella pneumoniae VAKPC269||VAKPC269|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000406845.1	Contig	86762	5354224	155	Newbler v. 2.3	Generic	PRJNA187318	JCVI	SAMN02142043	"1134709401491 Klebsiella pneumoniae VAKPC269 VAKP269-PE-IL3-1 Sample","SRS420224","VAKPC269"	NULL	NULL	NULL	698408	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Klebsiella pneumoniae VAKPC269	NULL	NULL	573	NULL	NULL	VAKPC269	NULL	NULL	NULL	PDT000016125.2	2013-06-04	1284826	APVY	APVY00000000.1	NULL	NULL	NULL	14	2	5	21	16	15	"amikacin=S,aztreonam=R,cefepime=R,cefotaxime=R,ceftazidime=R,ciprofloxacin=R,colistin=S,doripenem=R,doxycycline=I,ertapenem=R,gentamicin=S,imipenem=R,levofloxacin=R,meropenem=R,minocycline=I,piperacillin-tazobactam=R,polymyxin B=S,ticarcillin-clavulanic acid=R,tigecycline=S,tobramycin=R,trimethoprim-sulfamethoxazole=R"	"aac(6')-Ib,aadA2,blaKPC-2,blaSHV-12,dfrA12,emrD,fosA,gyrA_S83I=POINT,mph(A),mrx(A),ompK35_E42RfsTer47=POINT,ompK36_D135DGD=POINT,oqxA,oqxB,parC_S80I=POINT,sul1"	"aac(6')-Ib,aadA2,blaKPC-2,blaSHV-12,dfrA12,fosA,gyrA_S83I=POINT,mph(A),mrx(A),ompK35_E42RfsTer47=POINT,ompK36_D135DGD=POINT,oqxA,oqxB,parC_S80I=POINT,sul1"	6	"arsC=HMM,asr=HMM,clpK,fieF,hsp20,qacEdelta1"	0	NULL	4.2.7	2026-01-21.1	COMBINED	1
PDT000016126.2|SAMN02142049|GCA_000406565.1|Klebsiella pneumoniae VAKPC280||VAKPC280|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000406565.1	Contig	90580	5366546	164	Newbler v. 2.3	Generic	PRJNA187320	JCVI	SAMN02142049	"1134709401499 Klebsiella pneumoniae VAKPC280 VAKP280-PE-IL7-1 Sample","SRS420243","VAKPC280"	NULL	NULL	NULL	698128	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Klebsiella pneumoniae VAKPC280	NULL	NULL	573	NULL	NULL	VAKPC280	NULL	NULL	NULL	PDT000016126.2	2013-06-04	1284828	APVZ	APVZ00000000.1	NULL	NULL	NULL	16	3	2	21	16	15	"amikacin=I,aztreonam=R,cefepime=R,cefotaxime=R,ceftazidime=R,ciprofloxacin=R,colistin=R,doripenem=R,doxycycline=I,ertapenem=R,gentamicin=S,imipenem=R,levofloxacin=R,meropenem=R,minocycline=I,piperacillin-tazobactam=R,polymyxin B=R,ticarcillin-clavulanic acid=R,tigecycline=S,tobramycin=R,trimethoprim-sulfamethoxazole=R"	"aac(6')-Ib,aadA2,blaKPC-2,blaSHV-12,dfrA12,emrD,fosA,gyrA_S83I=POINT,mph(A),mrx(A),ompK35_E42RfsTer47=POINT,ompK36_D135DGD=POINT,oqxA,oqxB,parC_S80I=POINT,sul1"	"aac(6')-Ib,aadA2,blaKPC-2,blaSHV-12,dfrA12,fosA,gyrA_S83I=POINT,mph(A),mrx(A),ompK35_E42RfsTer47=POINT,ompK36_D135DGD=POINT,oqxA,oqxB,parC_S80I=POINT,sul1"	6	"arsC=HMM,asr=HMM,clpK,fieF,hsp20,qacEdelta1"	0	NULL	4.2.7	2026-01-21.1	COMBINED	1
PDT000016127.2|SAMN02142044|GCA_000406585.1|Klebsiella pneumoniae VAKPC270||VAKPC270|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000406585.1	Contig	99231	5472934	200	Newbler v. 2.3	Generic	PRJNA187321	JCVI	SAMN02142044	"1134709401493 Klebsiella pneumoniae VAKPC270 VAKP270-PE-IL4-1 Sample","SRS420226","VAKPC270"	NULL	NULL	NULL	698148	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Klebsiella pneumoniae VAKPC270	NULL	NULL	573	NULL	NULL	VAKPC270	NULL	NULL	NULL	PDT000016127.2	2013-06-04	1284829	APWA	APWA00000000.1	NULL	NULL	NULL	14	3	4	21	20	19	"amikacin=I,aztreonam=R,cefepime=R,cefotaxime=R,ceftazidime=R,ciprofloxacin=R,colistin=S,doripenem=R,doxycycline=I,ertapenem=R,gentamicin=S,imipenem=R,levofloxacin=R,meropenem=R,minocycline=I,piperacillin-tazobactam=R,polymyxin B=S,ticarcillin-clavulanic acid=R,tigecycline=S,tobramycin=R,trimethoprim-sulfamethoxazole=R"	"aac(6')-Ib,aadA2,aph(3')-Ia,aph(6)-Id=PARTIAL,blaKPC-2,blaOXA=MISTRANSLATION,blaSHV-12,catA1,dfrA12,emrD,fosA,gyrA_S83I=POINT,mph(A),mrx(A),ompK35_E42RfsTer47=POINT,ompK36_D135DGD=POINT,oqxA,oqxB,parC_S80I=POINT,sul1"	"aac(6')-Ib,aadA2,aph(3')-Ia,aph(6)-Id=PARTIAL,blaKPC-2,blaOXA=MISTRANSLATION,blaSHV-12,catA1,dfrA12,fosA,gyrA_S83I=POINT,mph(A),mrx(A),ompK35_E42RfsTer47=POINT,ompK36_D135DGD=POINT,oqxA,oqxB,parC_S80I=POINT,sul1"	10	"arsC=HMM,asr=HMM,clpK,fieF,hsp20,merA=HMM,merC,merD=HMM,merE=HMM,qacE"	0	NULL	4.2.7	2026-01-21.1	COMBINED	1
PDT000016128.2|SAMN02142047|GCA_000406625.1|Klebsiella pneumoniae VAKPC276||VAKPC276|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000406625.1	Contig	97690	5468994	205	Newbler v. 2.3	Generic	PRJNA187322	JCVI	SAMN02142047	"1134709401495 Klebsiella pneumoniae VAKPC276 VAKP276-PE-IL5-1 Sample","SRS420229","VAKPC276"	NULL	NULL	NULL	698188	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Klebsiella pneumoniae VAKPC276	NULL	NULL	573	NULL	NULL	VAKPC276	NULL	NULL	NULL	PDT000016128.2	2013-06-04	1284830	APWB	APWB00000000.1	NULL	NULL	NULL	14	2	5	21	20	19	"amikacin=I,aztreonam=R,cefepime=R,cefotaxime=R,ceftazidime=R,ciprofloxacin=R,colistin=S,doripenem=R,doxycycline=S,ertapenem=R,gentamicin=S,imipenem=R,levofloxacin=R,meropenem=R,minocycline=I,piperacillin-tazobactam=R,polymyxin B=S,ticarcillin-clavulanic acid=R,tigecycline=S,tobramycin=R,trimethoprim-sulfamethoxazole=R"	"aac(6')-Ib,aadA2,aph(3')-Ia,aph(6)-Id=PARTIAL,blaKPC-2,blaOXA=MISTRANSLATION,blaSHV-12,catA1=PARTIAL_END_OF_CONTIG,dfrA12,emrD,fosA,gyrA_S83I=POINT,mph(A),mrx(A),ompK35_E42RfsTer47=POINT,ompK36_D135DGD=POINT,oqxA,oqxB,parC_S80I=POINT,sul1"	"aac(6')-Ib,aadA2,aph(3')-Ia,aph(6)-Id=PARTIAL,blaKPC-2,blaOXA=MISTRANSLATION,blaSHV-12,catA1=PARTIAL_END_OF_CONTIG,dfrA12,fosA,gyrA_S83I=POINT,mph(A),mrx(A),ompK35_E42RfsTer47=POINT,ompK36_D135DGD=POINT,oqxA,oqxB,parC_S80I=POINT,sul1"	10	"arsC=HMM,asr=HMM,clpK,fieF,hsp20,merA=HMM,merC,merD=HMM,merE=HMM,qacE"	0	NULL	4.2.7	2026-01-21.1	COMBINED	1
